Epoch,Train Acc,Val Acc,Train Loss,Val Loss
1,0.30261364579200745,0.3373863697052002,1.3909229040145874,1.3646401166915894
2,0.3332670331001282,0.36829546093940735,1.3533867597579956,1.3351786136627197
3,0.3437784016132355,0.3761363625526428,1.3422291278839111,1.3018790483474731
4,0.3513920307159424,0.38681817054748535,1.3333290815353394,1.2804685831069946
5,0.3551136255264282,0.3909091055393219,1.3284789323806763,1.2741950750350952
6,0.36133521795272827,0.39431819319725037,1.3227739334106445,1.286568284034729
7,0.3658238649368286,0.3902272582054138,1.3164905309677124,1.2687381505966187
8,0.3724716007709503,0.3604545593261719,1.312195062637329,1.2884306907653809
9,0.3714488744735718,0.37590909004211426,1.3092342615127563,1.299183964729309
10,0.37900567054748535,0.4000000059604645,1.303451418876648,1.2893078327178955
11,0.39539772272109985,0.43590909242630005,1.2814708948135376,1.2400319576263428
12,0.395852267742157,0.4165908992290497,1.2809072732925415,1.2430942058563232
13,0.3975568115711212,0.4318181872367859,1.2777971029281616,1.2444275617599487
14,0.3998579680919647,0.4315909147262573,1.275415301322937,1.2377506494522095
15,0.39963069558143616,0.42886364459991455,1.275618314743042,1.2393994331359863
16,0.3987216055393219,0.44102272391319275,1.2737610340118408,1.2360761165618896
17,0.399971604347229,0.43147727847099304,1.2726235389709473,1.235751986503601
18,0.4019318222999573,0.42386364936828613,1.2735695838928223,1.2387083768844604
19,0.4029545485973358,0.4398863613605499,1.2743830680847168,1.2362983226776123
20,0.399971604347229,0.4344318211078644,1.2723990678787231,1.2398552894592285
21,0.4071022868156433,0.4431818127632141,1.2690701484680176,1.2332210540771484
22,0.4112499952316284,0.43852272629737854,1.2666923999786377,1.2333606481552124
23,0.40630683302879333,0.4362500011920929,1.2682805061340332,1.2344812154769897
24,0.408096581697464,0.45136362314224243,1.267733097076416,1.2341885566711426
25,0.4108806848526001,0.4420454502105713,1.2668638229370117,1.232452630996704
26,0.40911930799484253,0.44363635778427124,1.2674247026443481,1.2330491542816162
27,0.40872159600257874,0.44170454144477844,1.2650365829467773,1.2329751253128052
28,0.41553977131843567,0.44545453786849976,1.2654321193695068,1.2324583530426025
29,0.41360795497894287,0.44545453786849976,1.2648662328720093,1.2326204776763916
30,0.40917614102363586,0.4438636302947998,1.2645970582962036,1.2327600717544556
