Class,Precision,Recall,F1-Score
MildDemented,0.9901404242605318,0.9942,0.9921660595778654
ModerateDemented,0.9991003598560576,0.9995,0.9993001399720057
NonDemented,0.9889885165958786,0.98234375,0.9856549345457396
VeryMildDemented,0.9809625478160306,0.9845535714285715,0.982754779198788
Overall,0.9897979621321247,0.9901493303571429,0.9899689783235998
